Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	S:\Proteomics_Restored\6883\DIA\raw\B000254_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio02_DIA.raw	S:\Proteomics_Restored\6883\DIA\raw\B000258_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio04_DIA.raw	S:\Proteomics_Restored\6883\DIA\raw\B000262_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio08_DIA.raw	S:\Proteomics_Restored\6883\DIA\raw\B000278_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio02_DIA_2.raw	S:\Proteomics_Restored\6883\DIA\raw\B000282_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio04_DIA_2.raw	S:\Proteomics_Restored\6883\DIA\raw\B000286_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio08_DIA_2.raw	S:\Proteomics_Restored\6883\DIA\raw\B000302_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio02_DIA_3.raw	S:\Proteomics_Restored\6883\DIA\raw\B000306_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio04_DIA_3.raw	S:\Proteomics_Restored\6883\DIA\raw\B000310_Ap_6883_EXT-765_DIA_Yeast_UPS2_ratio08_DIA_3.raw
P20795	VPS33_YEAST	VPS33	Vacuolar protein sorting-associated protein 33	7	7	3.62515e+06	3.29169e+06	2.76011e+06	3.5214e+06	3.95832e+06	2.26025e+06	2.83734e+06	3.43072e+06	3.07424e+06
P20967	ODO1_YEAST	KGD1	2-oxoglutarate dehydrogenase, mitochondrial	26	26	3.26178e+07	3.3015e+07	3.28626e+07	3.08339e+07	3.48987e+07	3.39082e+07	3.24273e+07	3.37088e+07	3.23313e+07
P21147	ACO1_YEAST	OLE1	Acyl-CoA desaturase 1	9	9	2.48725e+06	2.75825e+06	2.70717e+06	3.21785e+06	3.64727e+06	3.08713e+06	2.93893e+06	3.52955e+06	2.78956e+06
P21182	DCAM_YEAST	SPE2	S-adenosylmethionine decarboxylase proenzyme	2	2	4.08342e+06	4.37718e+06	4.06709e+06	3.66868e+06	5.27301e+06	4.15854e+06	4.47081e+06	4.89635e+06	4.90211e+06
P21192	ACE2_YEAST	ACE2	Metallothionein expression activator	1	1	610002			1.8129e+06			3.42059e+06		4.91204e+06
P21242	PSA7_YEAST	PRE10	Probable proteasome subunit alpha type-7	11	11	5.89371e+07	5.87858e+07	5.49583e+07	5.35419e+07	5.94814e+07	5.36378e+07	5.70184e+07	5.85083e+07	5.63664e+07
P21243	PSA1_YEAST	SCL1	Proteasome subunit alpha type-1	16	16	4.15686e+07	3.98188e+07	3.85928e+07	3.90527e+07	4.13402e+07	4.13479e+07	4.0278e+07	3.89399e+07	4.05311e+07
P21264	PUR6_YEAST	ADE2	Phosphoribosylaminoimidazole carboxylase	28	28	4.66644e+07	4.44831e+07	4.56341e+07	4.43846e+07	4.52589e+07	4.62792e+07	4.73122e+07	4.9048e+07	4.42266e+07
P21269	CCA1_YEAST	CCA1	CCA tRNA nucleotidyltransferase, mitochondrial	12	12	4.37042e+06	4.01244e+06	3.83361e+06	3.61075e+06	3.84541e+06	3.60388e+06	3.96487e+06	4.07015e+06	3.98897e+06
P21304	PWP1_YEAST	PWP1	Periodic tryptophan protein 1	18	18	1.94554e+07	1.88631e+07	1.99165e+07	1.90583e+07	1.91286e+07	2.02461e+07	1.81423e+07	1.986e+07	1.78958e+07
