sampleName	celltype	mouse	sampleId
Intensity.Tconv.M12_2	con	m1	con1
Intensity.Tconv.M12_3	con	m2	con2
Intensity.Tconv.M5_inj1	con	m3	con3
Intensity.Tconv.M6_inj1	con	m4	con4
Intensity.Treg.M12_2	reg	m1	reg1
Intensity.Treg.M12_3	reg	m2	reg2
Intensity.Treg.M5_inj1	reg	m3	reg3
Intensity.Treg.M6_inj1	reg	m4	reg4
