Channel	Condition	Run	BioReplicate	Mixture	Fraction	TechRepMixture	File.Name	Duration	Diet	runCol	quantCols
129C	Short_HF	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_A-J.X129_C	PAMI-176_Mouse_A-J	40ug_20pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Short	HF	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Abundance..129C
129C	Short_HF	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_A-J.X129_C	PAMI-176_Mouse_A-J	40ug_26pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Short	HF	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Abundance..129C
130N	Short_HF	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_A-J.X130_N	PAMI-176_Mouse_A-J	40ug_20pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Short	HF	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Abundance..130N
130N	Short_HF	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_A-J.X130_N	PAMI-176_Mouse_A-J	40ug_26pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Short	HF	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Abundance..130N
130C	Norm	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_A-J.X130_C	PAMI-176_Mouse_A-J	40ug_20pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Norm	Norm	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Abundance..130C
130C	Norm	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_A-J.X130_C	PAMI-176_Mouse_A-J	40ug_26pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Norm	Norm	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Abundance..130C
131	Short_LF	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_A-J.X131	PAMI-176_Mouse_A-J	40ug_20pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Short	LF	PAMI-176_Mouse_A-J_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Abundance..131
131	Short_LF	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_A-J.X131	PAMI-176_Mouse_A-J	40ug_26pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Short	LF	PAMI-176_Mouse_A-J_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Abundance..131
126	Short_LF	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_K-T.X126	PAMI-176_Mouse_K-T	40ug_20pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Short	LF	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Abundance..126
126	Short_LF	PAMI-176_Mouse_K-T_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_K-T.X126	PAMI-176_Mouse_K-T	40ug_26pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_K-T_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Short	LF	PAMI-176_Mouse_K-T_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Abundance..126
127N	Norm	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_K-T.X127_N	PAMI-176_Mouse_K-T	40ug_20pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Norm	Norm	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Abundance..127N
127N	Norm	PAMI-176_Mouse_K-T_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_K-T.X127_N	PAMI-176_Mouse_K-T	40ug_26pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_K-T_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Norm	Norm	PAMI-176_Mouse_K-T_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Abundance..127N
127C	Short_HF	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_K-T.X127_C	PAMI-176_Mouse_K-T	40ug_20pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Short	HF	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Abundance..127C
127C	Short_HF	PAMI-176_Mouse_K-T_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_K-T.X127_C	PAMI-176_Mouse_K-T	40ug_26pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_K-T_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Short	HF	PAMI-176_Mouse_K-T_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Abundance..127C
128N	Short_LF	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_K-T.X128_N	PAMI-176_Mouse_K-T	40ug_20pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Short	LF	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Abundance..128N
128N	Short_LF	PAMI-176_Mouse_K-T_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_K-T.X128_N	PAMI-176_Mouse_K-T	40ug_26pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_K-T_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Short	LF	PAMI-176_Mouse_K-T_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Abundance..128N
128C	Long_LF	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_K-T.X128_C	PAMI-176_Mouse_K-T	40ug_20pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Long	LF	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Abundance..128C
128C	Long_LF	PAMI-176_Mouse_K-T_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_K-T.X128_C	PAMI-176_Mouse_K-T	40ug_26pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_K-T_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Long	LF	PAMI-176_Mouse_K-T_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Abundance..128C
129N	Long_HF	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_K-T.X129_N	PAMI-176_Mouse_K-T	40ug_20pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Long	HF	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Abundance..129N
129N	Long_HF	PAMI-176_Mouse_K-T_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_K-T.X129_N	PAMI-176_Mouse_K-T	40ug_26pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_K-T_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Long	HF	PAMI-176_Mouse_K-T_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Abundance..129N
129C	Norm	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_K-T.X129_C	PAMI-176_Mouse_K-T	40ug_20pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Norm	Norm	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Abundance..129C
129C	Norm	PAMI-176_Mouse_K-T_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_K-T.X129_C	PAMI-176_Mouse_K-T	40ug_26pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_K-T_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Norm	Norm	PAMI-176_Mouse_K-T_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Abundance..129C
130N	Long_M	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_K-T.X130_N	PAMI-176_Mouse_K-T	40ug_20pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Long	M	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Abundance..130N
130N	Long_M	PAMI-176_Mouse_K-T_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_K-T.X130_N	PAMI-176_Mouse_K-T	40ug_26pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_K-T_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Long	M	PAMI-176_Mouse_K-T_TMT_40ug_26pctACN_25cm_120min_20160223_OT.raw	Abundance..130N
130C	Long_LF	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	PAMI-176_Mouse_K-T.X130_C	PAMI-176_Mouse_K-T	40ug_20pctACN_25cm_120min_20160223	1	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Long	LF	PAMI-176_Mouse_K-T_TMT_40ug_20pctACN_25cm_120min_20160223_OT.raw	Abundance..130C
